JerseyNo,Date,Opp,TRB,AST,STL,PTS
8,2018-03-27,CLE,2,2,0,7
8,2018-03-29,CHI,0,0,0,6
8,2018-03-31,BRK,4,1,0,6
8,2018-04-03,ATL,4,3,0,12
8,2018-04-04,ATL,2,2,0,6
8,2018-04-06,NYK,5,2,2,9
8,2018-04-09,OKC,4,4,3,12
8,2018-04-11,TOR,7,2,0,11
9,2017-10-18,ORL,5,3,0,10
9,2017-10-21,IND,9,4,2,13
9,2017-10-23,ATL,10,4,2,10
9,2017-10-25,SAS,2,1,0,5
9,2017-10-28,BOS,9,1,1,14
9,2017-10-30,MIN,6,2,0,23
9,2017-11-01,CHI,2,0,0,8
9,2017-11-03,DEN,6,1,1,8
9,2017-11-05,LAC,4,1,1,2
9,2017-11-06,GSW,5,1,0,10
9,2017-11-08,PHO,9,2,0,10
9,2017-11-10,UTA,6,2,1,7
9,2017-11-12,DET,2,0,0,8
9,2017-11-15,WAS,3,0,1,5
9,2017-11-17,WAS,4,0,1,5
9,2017-11-19,IND,2,1,0,4
9,2017-11-22,BOS,6,2,1,6
9,2017-11-24,MIN,8,4,0,12
9,2017-11-26,CHI,5,2,1,10
9,2017-11-28,CLE,3,0,0,5
9,2017-11-29,NYK,5,2,0,18
9,2017-12-01,CHO,4,6,0,10
9,2017-12-03,GSW,7,5,0,14
9,2017-12-06,SAS,8,4,3,5
9,2017-12-09,BRK,5,3,1,11
9,2017-12-11,MEM,3,1,1,5
9,2017-12-13,POR,6,1,1,10
9,2017-12-15,CHO,5,0,1,11
9,2017-12-16,LAC,5,4,5,11
9,2017-12-18,ATL,5,5,2,7
9,2017-12-20,BOS,7,2,1,32
9,2017-12-22,DAL,6,2,0,11
9,2017-12-23,NOP,8,3,0,10
9,2017-12-26,ORL,12,2,3,15
9,2017-12-29,BRK,7,2,1,2
9,2017-12-30,ORL,6,3,1,17
9,2018-01-03,DET,13,3,0,25
9,2018-01-05,NYK,10,4,1,10
9,2018-01-07,UTA,2,2,1,12
9,2018-01-09,TOR,5,1,0,4
9,2018-01-10,IND,3,1,1,11
9,2018-01-14,MIL,7,0,1,7
9,2018-01-15,CHI,3,8,0,21
9,2018-01-17,MIL,1,1,0,15
9,2018-01-19,BRK,5,3,0,12
9,2018-01-20,CHO,10,3,0,16
9,2018-01-22,HOU,2,1,1,10
9,2018-01-25,SAC,4,4,0,10
9,2018-01-27,CHO,4,6,0,16
9,2018-01-29,DAL,4,1,0,12
9,2018-01-31,CLE,7,2,3,10
9,2018-02-02,PHI,6,1,0,19
9,2018-02-03,DET,8,5,1,19
9,2018-02-05,ORL,0,1,0,0
9,2018-02-07,HOU,0,0,0,0
9,2018-02-09,MIL,0,0,0,0
9,2018-02-13,TOR,0,0,0,0
9,2018-02-14,PHI,0,0,0,0
9,2018-02-23,NOP,0,0,0,0
9,2018-02-24,MEM,0,0,0,0
9,2018-02-27,PHI,3,3,0,9
9,2018-03-01,LAL,3,2,0,0
9,2018-03-03,DET,5,4,1,17
9,2018-03-05,PHO,4,8,2,15
9,2018-03-06,WAS,9,5,1,3
9,2018-03-08,PHI,7,2,1,10
9,2018-03-10,WAS,11,2,1,13
9,2018-03-12,POR,5,7,1,9
9,2018-03-14,SAC,8,5,0,13
9,2018-03-16,LAL,5,0,3,17
9,2018-03-19,DEN,8,6,1,30
9,2018-03-21,NYK,5,10,1,22
9,2018-03-23,OKC,5,3,0,9
9,2018-03-25,IND,9,9,3,12
9,2018-03-27,CLE,5,3,3,19
9,2018-03-29,CHI,3,0,1,11
9,2018-03-31,BRK,8,2,0,16
9,2018-04-03,ATL,3,1,1,8
9,2018-04-04,ATL,8,5,0,19
9,2018-04-06,NYK,4,1,0,11
9,2018-04-09,OKC,6,1,0,5
9,2018-04-11,TOR,8,5,1,11
0,2017-10-18,ORL,2,2,0,10
0,2017-10-21,IND,8,4,0,12
0,2017-10-23,ATL,4,2,2,21
0,2017-10-25,SAS,5,3,3,6
0,2017-10-28,BOS,0,3,0,16
0,2017-10-30,MIN,1,1,2,5
0,2017-11-01,CHI,2,1,1,3
0,2017-11-03,DEN,7,4,1,7
0,2017-11-05,LAC,2,4,3,14
0,2017-11-06,GSW,0,0,3,6
0,2017-11-08,PHO,6,1,1,4
0,2017-11-10,UTA,4,1,2,8
0,2017-11-12,DET,5,4,1,15
0,2017-11-15,WAS,3,2,1,4
0,2017-11-17,WAS,2,2,0,3
